Episode,Value
1,235954.6599999993
2,271325.61999999924
3,303567.60277777736
4,336986.58277777705
5,135255.60277777794
6,575242.6027777769
7,708078.1227777769
8,301976.12277777685
9,305245.10277777683
10,386767.07277777727
11,655969.077777777
12,627468.0527777768
13,692754.007777777
14,740892.0699999991
15,1064516.0327777774
16,486450.57277777686
17,792612.5527777768
18,722418.5727777769
19,794884.5327777768
20,1092977.532777778
21,1063958.0577777773
22,1706813.0577777866
23,1292560.5327777818
24,2040890.507777787
25,1802549.5077777863
26,1724090.4827777867
27,1858552.4827777855
28,2022858.4827777923
29,2060764.0077777936
30,2193851.4577777847
31,3241832.507777794
32,3141692.007777792
33,2059239.5077777875
34,2671179.0327777914
35,3029114.5077777924
36,3060705.5750000137
37,3075314.5527777937
38,2630889.457777793
39,2739848.482777791
40,2889081.602777793
41,3110394.5527777923
42,3274851.507777793
43,3071317.032777794
44,3479343.5327777946
45,2901030.507777794
46,2941854.532777792
47,2805655.0327777895
48,3242021.5077777924
49,2441404.4827777934
50,3174032.5327777932
51,3279151.507777794
52,3205368.0077777924
53,3106575.4827777916
54,3005001.9827777934
55,2999777.0327777932
56,3000331.5577777927
57,3545107.507777794
58,3250089.0327777923
59,2329963.5327777895
60,2535839.057777794
61,3170892.007777794
62,2323781.4577777917
63,3445152.007777793
64,2827442.032777792
65,2832688.5327777937
66,3210672.0327777932
67,3277050.957777794
68,3306201.007777793
69,3211752.0327777937
70,3033698.507777794
71,3476494.5077777943
72,3244671.5327777923
73,3238658.032777794
74,3074380.0327777937
75,3228270.5700000157
76,3309496.007777794
77,3149132.0327777932
78,3141191.532777792
79,3446544.007777794
80,3544216.007777794
81,3543780.507777794
82,2906465.957777792
83,3407833.532777794
84,3206798.007777794
85,3578318.507777794
86,3345590.507777794
87,3278380.0327777946
88,3299335.5827777935
89,3075562.007777794
90,3579374.507777794
91,2669167.9577777875
92,3584078.532777794
93,2938254.457777792
94,3210555.5327777946
95,3378541.552777794
96,3209447.5327777937
97,3006657.0327777932
98,3448841.052777794
99,3440541.007777794
100,2899648.482777794
101,3303428.007777794
102,3407828.007777794
103,3411162.5077777924
104,3175548.9827777916
105,3514557.0077777943
106,3011241.532777792
107,3359925.5327777932
108,3331387.575000014
109,3448042.0527777937
110,3373981.007777793
111,3174307.0027777934
112,3241774.507777794
113,3427290.5500000156
114,3328881.0500000156
115,3577859.007777794
116,3281976.507777794
117,3478387.0077777933
118,3175699.957777791
119,3477255.507777794
120,3578298.007777794
121,2708519.5277777934
122,3515719.0527777937
123,3275915.5327777937
124,3511145.507777794
125,3563511.0700000157
126,3515009.5327777946
127,3477166.5077777933
128,3511461.007777794
129,3244637.507777794
130,3475078.507777794
131,3409911.007777794
132,3376665.5077777933
133,3511749.007777794
134,3481887.507777794
135,3545676.507777794
136,3507840.007777794
137,3340331.007777794
138,3512369.5077777933
139,3346784.0327777937
140,3263610.5950000156
141,3478263.507777794
142,3543211.507777794
143,3441428.007777794
144,3578226.007777794
145,3340428.0077777933
146,3545076.507777794
147,3346735.507777794
148,3244709.5077777933
149,3305745.007777794
150,3475078.5077777933
151,3414749.0327777932
152,3343701.5077777924
153,3578349.507777794
154,3544164.507777794
155,3376526.007777794
156,3375178.007777794
157,3378260.0077777933
158,3236693.507777794
159,3477207.507777794
160,3409283.5077777933
161,3201070.507777794
162,3512373.0077777933
163,3241724.4577777917
164,3343461.507777794
165,3611156.0077777943
166,3509242.5077777943
167,3443612.5077777933
168,3105636.457777793
169,3511557.007777794
170,3515829.0077777933
171,3543523.507777794
172,3482943.507777794
173,3578349.507777794
174,3511783.007777794
175,3510666.507777794
176,3445460.5077777933
177,3545275.507777794
178,3105348.457777791
179,3038686.4827777916
180,3578346.007777794
181,3477547.007777794
182,3277395.5077777933
183,3373751.507777794
184,3510696.507777794
185,3407028.5077777933
186,3510878.007777794
187,3510669.007777794
188,3544123.507777794
189,3509654.007777794
190,3510477.0077777933
191,3511193.507777794
192,3544747.507777794
193,3242025.9577777935
194,3578349.507777794
195,3475287.507777794
196,3578229.507777794
197,3544048.0077777943
198,3443859.5077777933
199,3545203.507777794
200,3509424.507777794
201,3578349.507777794
202,3511111.007777794
203,3511728.507777794
204,3578349.507777794
205,3611608.507777794
206,3044226.502777794
207,3578349.507777794
208,3611636.007777794
209,3579018.007777794
210,3578349.507777794
211,3611608.507777794
212,3446043.5077777933
213,3511406.0077777933
214,3543928.007777794
215,3578349.507777794
216,3578377.007777794
217,3141055.4577777907
218,3578349.507777794
219,3510274.507777794
220,3578349.507777794
221,3544243.507777794
222,3411481.507777794
223,3479018.007777794
224,3578349.507777794
225,3611636.007777794
226,3579378.007777794
227,3476399.507777794
228,3477482.007777794
229,3476975.507777794
230,3578349.507777794
231,3645810.5077777943
232,3475247.507777794
233,3578349.507777794
234,3578349.507777794
235,3612496.507777794
236,3377235.007777794
237,3477907.0077777933
238,3578294.507777794
239,3578349.507777794
240,3578349.507777794
241,3578349.507777794
242,3578322.007777794
243,3479996.007777794
244,3578349.507777794
245,3612544.5077777943
246,3578349.507777794
247,3596034.0327777937
248,3544891.507777794
249,3578322.007777794
250,3345484.5077777924
251,3578346.007777794
252,3612541.007777794
253,3544840.007777794
254,3546691.507777794
255,3611968.507777794
256,3578349.507777794
257,3578349.507777794
258,3544336.007777794
259,3611612.007777794
260,3477142.507777794
261,3476196.007777794
262,3578349.507777794
263,3646722.5077777943
264,3578349.507777794
265,3578349.507777794
266,3545179.507777794
267,3512373.007777794
268,2765777.4827777906
269,3544243.507777794
270,3578349.507777794
271,3578349.507777794
272,3578349.507777794
273,3578322.007777794
274,3544843.507777794
275,3578349.507777794
276,3474856.507777794
277,3578349.507777794
278,3408145.507777794
279,3236501.507777794
280,3545131.507777794
281,3545251.507777794
282,3578349.507777794
283,3578349.507777794
284,3578349.507777794
285,3578349.507777794
286,3577574.507777794
287,3578349.507777794
288,3578322.007777794
289,3578349.507777794
290,3578349.507777794
291,3578349.507777794
292,3578349.507777794
293,3578346.007777794
294,3578349.507777794
295,3509654.007777794
296,3578270.507777794
297,3578349.507777794
298,3578346.007777794
299,3578973.507777794
300,3511553.507777794
301,3578349.507777794
302,3578349.507777794
303,3578349.507777794
304,3578349.507777794
305,3612548.007777794
306,3578349.507777794
307,3476354.0077777933
308,3510885.0077777933
309,3578349.507777794
310,3544257.007777794
311,3578349.507777794
312,3578349.507777794
313,3543835.507777794
314,3612476.007777794
315,3544408.007777794
316,3578349.507777794
317,3578349.507777794
318,3578349.507777794
319,3578349.507777794
320,3579553.007777794
321,3379738.032777794
322,3578349.507777794
323,3562775.0327777937
324,3445992.007777794
325,3578349.507777794
326,3578349.507777794
327,3578349.507777794
328,3544336.007777794
329,3612040.507777794
330,3578377.007777794
331,3578349.507777794
332,3578349.507777794
333,3578349.507777794
334,3545275.507777794
335,3578349.507777794
336,3578318.507777794
337,3578349.507777794
338,3578322.007777794
339,3511173.007777794
