Timestamp(ms),Current(uA),D0-D7
0,19239.584,00000000
10,19248.922,00000000
20,19242.914,00000000
30,19250.699,00000000
40,19240.803,00000000
50,19242.363,00000000
60,19247.549,00000000
70,19239.549,00000000
80,19237.070,00000000
90,19246.918,00000000
100,19252.320,00000000
110,19250.021,00000000
120,19258.445,00000000
130,19258.689,00000000
140,19240.799,00000000
150,19241.416,00000000
160,19248.971,00000000
170,19241.115,00000000
180,19245.887,00000000
190,19243.795,00000000
200,19238.135,00000000
210,19228.070,00000000
220,19244.402,00000000
230,19223.918,00000000
240,19224.113,00000000
250,19227.975,00000000
260,19235.443,00000000
270,19239.629,00000000
280,19237.561,00000000
290,19249.492,00000000
300,19241.986,00000000
310,19246.479,00000000
320,19236.807,00000000
330,19238.719,00000000
340,19242.777,00000000
350,19252.078,00000000
360,19240.666,00000000
370,19243.537,00000000
380,19221.980,00000000
390,19232.928,00000000
400,19231.211,00000000
410,19241.234,00000000
420,19243.340,00000000
430,19231.975,00000000
440,19225.828,00000000
450,19245.176,00000000
460,19239.479,00000000
470,19233.449,00000000
480,19239.332,00000000
490,19231.527,00000000
500,19226.039,00000000
510,19216.674,00000000
520,19229.215,00000000
530,19236.021,00000000
540,19223.285,00000000
550,19229.246,00000000
560,19218.477,00000000
570,19224.250,00000000
580,19228.838,00000000
590,19220.826,00000000
600,19227.365,00000000
610,19224.477,00000000
620,19217.410,00000000
630,19223.422,00000000
640,19236.639,00000000
650,19229.766,00000000
660,19229.811,00000000
670,19225.756,00000000
680,19216.051,00000000
690,19219.594,00000000
700,19227.521,00000000
710,19228.178,00000000
720,19224.908,00000000
730,19233.838,00000000
740,19225.797,00000000
750,19213.641,00000000
760,19218.342,00000000
770,19224.227,00000000
780,19228.486,00000000
790,19215.867,00000000
800,19223.947,00000000
810,19228.811,00000000
820,19220.406,00000000
830,19227.055,00000000
840,19224.771,00000000
850,19224.566,00000000
860,19224.508,00000000
870,19226.799,00000000
880,19216.063,00000000
890,19220.369,00000000
900,19221.896,00000000
910,19218.314,00000000
920,19219.459,00000000
930,19233.930,00000000
940,19221.273,00000000
950,19212.646,00000000
960,19215.459,00000000
970,19230.152,00000000
980,19213.918,00000000
990,19214.439,00000000
1000,19229.475,00000000
1010,19230.406,00000000
1020,19218.477,00000000
1030,19231.381,00000000
1040,19224.055,00000000
1050,19225.514,00000000
1060,19218.572,00000000
1070,19239.051,00000000
1080,19228.842,00000000
1090,19230.871,00000000
1100,19232.131,00000000
1110,19237.201,00000000
1120,19228.740,00000000
1130,19227.418,00000000
1140,19227.873,00000000
1150,19227.713,00000000
1160,19234.084,00000000
1170,19221.482,00000000
1180,19225.932,00000000
1190,19222.033,00000000
1200,19213.668,00000000
1210,19225.803,00000000
1220,19222.982,00000000
1230,19234.236,00000000
1240,19229.098,00000000
1250,19225.117,00000000
1260,19220.537,00000000
1270,19229.467,00000000
1280,19216.539,00000000
1290,19210.555,00000000
1300,19210.932,00000000
1310,19214.127,00000000
1320,19211.928,00000000
1330,19207.256,00000000
1340,19215.926,00000000
