Interval,TimeOfDay,PercentageGain,DayNumber,PowerGain
45458.0625,1.5,0,0,0
45458.08333,2,0,0,0
45458.10417,2.5,0,0,0
45458.125,3,0,0,0
45458.14583,3.5,0,0,0
45458.16667,4,0,0,0
45458.1875,4.5,0,0,0
45458.20833,5,0,0,0
45458.22917,5.5,0,0,0
45458.25,6,0,0,0
45458.29167,7,0,0,0
45458.3125,7.5,0.01625,0,0.341249999
45458.33333,8,0.01625,0,0.341249999
45458.35417,8.5,0.2475,0,5.197499999
45458.375,9,0.074064,0,1.555343997
45458.39583,9.5,0.2475,0,5.197499996
45458.41667,10,0.71,0,14.91
45458.4375,10.5,0.016248,0,0.341207994
45458.45833,11,0.2475,0,5.197499993
45458.47917,11.5,0.652188,0,13.695948
45458.5,12,0.016252,0,0.341291993
45458.52083,12.5,0,0,0
45458.54167,13,0.941252,0,19.766292
45458.5625,13.5,0.305312,0,6.411551995
45458.58333,14,0.71,0,14.90999999
45458.60417,14.5,2.155312,0,45.26155199
45458.625,15,2.328748,0,48.90370799
45458.64583,15.5,1.866248,0,39.191208
45458.66667,16,2.502188,0,52.545948
45458.6875,16.5,2.606876,0,54.744396
45458.70833,17,1.88656,0,39.61776
45458.72917,17.5,0.999064,0,20.980344
45458.75,18,0.941252,0,19.766292
45458.77083,18.5,0.71,0,14.91
45458.79167,19,0.200624,0,4.213104001
45458.8125,19.5,0,0,0
45458.83333,20,0.189688,0,3.983447997
45458.85417,20.5,0,0,0
45458.875,21,0,0,0
45458.89583,21.5,0,0,0
45458.91667,22,0,0,0
45458.97917,23.5,0,0,0
45459,0,0.016252,1,0.341292002
45459.02083,0.5,0.016248,1,0.341208
45459.04167,1,0,1,0
45459.0625,1.5,0,1,0
45459.08333,2,0.016252,1,0.341291998
45459.10417,2.5,0,1,0
45459.125,3,0,1,0
45459.14583,3.5,0,1,0
45459.16667,4,0,1,0
45459.1875,4.5,0,1,0
45459.20833,5,0,1,0
45459.22917,5.5,0,1,0
45459.25,6,0,1,0
45459.27083,6.5,0,1,0
45459.29167,7,0,1,0
45459.3125,7.5,0,1,0
45459.33333,8,0,1,0
